Helmert parameters
------------------------
Tx:           -0.0781190 meter
Ty:            0.1060542 meter
Tz:            0.0000433 meter
Rx:    0.000000007647708 rad     0.001577453 arcsec
Ry:    0.000000021016782 rad     0.004335023 arcsec
Rz:   -0.000000005142342 rad    -0.001060684 arcsec
S.:    1.000000002666990          0.002666992 ppm
RMS:            0.004190 meter

------------------------------------
               X(mm)   Y(mm)   Z(mm)
------------------------------------
St.dev:         3.68    1.71    5.88
Max.:           8.25    4.27   18.81
Min.:         -11.44   -4.24  -16.15
Mean:          -0.68   -0.09   -1.17
RMS:            3.73    1.71    5.98

       From points                                  To points                                    Residuals
----------------------------------------------------------------------------------------------------------------------------
Name              X              Y              Z              X              Y              Z        vX        vY        vZ
RIND   2860556.2766    463969.1322   5662948.6092   2860556.3293    463969.1801   5662948.5653    0.0019   -0.0014   -0.0024
ROAC   2738036.1134    497707.6612   5719882.5257   2738036.1669    497707.7106   5719882.4886    0.0016   -0.0002    0.0014
RORC   2887745.8469    581642.2900   5638942.7546   2887745.8944    581642.3379   5638942.7089   -0.0036   -0.0017   -0.0045
ROSC   3181052.0461    335027.3859   5499661.3204   3181052.0952    335027.4358   5499661.2697    0.0014    0.0014   -0.0012
ROYC   2638387.9741    634663.1974   5753450.9156   2638388.0274    634663.2462   5753450.8837    0.0002   -0.0013    0.0033
SELC   3209902.8847    487409.2992   5471752.0139   3209902.9288    487409.3444   5471751.9575   -0.0039   -0.0038   -0.0073
SIRC   3323397.6195    336993.4845   5415277.8862   3323397.6735    336993.5329   5415277.8445    0.0077   -0.0001    0.0112
SKAC   2144393.1160    667776.2559   5949645.3558   2144393.1711    667776.3053   5949645.3266   -0.0010   -0.0019   -0.0052
SKAN   2238917.8675    666718.1567   5915089.2342   2238917.9195    666718.2087   5915089.1988   -0.0036    0.0010   -0.0093
SKJA   2980499.9490    423763.6497   5604685.5519   2980499.9980    423763.7008   5604685.5013   -0.0008    0.0021   -0.0062
SKJC   2039577.7793    781938.4440   5972404.5546   2039577.8371    781938.4939   5972404.5310    0.0009   -0.0021   -0.0026
SKOC   3187460.3570    543918.8116   5479515.9461   3187460.4031    543918.8594   5479515.8995   -0.0023   -0.0015    0.0016
SKRC   3077326.4872    594183.4155   5536603.0053   3077326.5293    594183.4617   5536602.9547   -0.0074   -0.0032   -0.0053
SMOL   2824684.2477    394739.9571   5685842.7618   2824684.3023    394740.0073   5685842.7229    0.0037    0.0011    0.0023
SMRC   1934578.2046    900047.6089   5990632.9169   1934578.2621    900047.6627   5990632.9022    0.0000    0.0011    0.0031
SORT   2240525.3315    617632.1632   5919775.4058   2240525.3830    617632.2141   5919775.3731   -0.0040    0.0000   -0.0062
STAC   2977626.7520    277105.3840   5614791.3723   2977626.8034    277105.4336   5614791.3306    0.0021    0.0010    0.0038
STAS   3275753.8628    321110.8112   5445041.9325   3275753.9169    321110.8599   5445041.8899    0.0074    0.0002    0.0093
STGC   2336698.1166    626806.3065   5881754.7882   2336698.1692    626806.3570   5881754.7564   -0.0023   -0.0002   -0.0033
STJC   2805037.7453    541081.4879   5683544.4745   2805037.8019    541081.5400   5683544.4443    0.0050    0.0025    0.0094
STOE   2852462.7128    517869.2492   5662266.0146   2852462.7627    517869.2994   5662265.9709   -0.0013    0.0007   -0.0029
STRA   2949255.6272    358617.1598   5625151.2172   2949255.6756    358617.2104   5625151.1643   -0.0014    0.0018   -0.0087
SULC   2389748.0994    688764.0637   5853814.5766   2389748.1538    688764.1151   5853814.5442   -0.0004    0.0006   -0.0031
SVAR   3205610.1289    563143.6781   5466959.0770   3205610.1745    563143.7268   5466959.0313   -0.0026   -0.0006    0.0028
SVEC   3313865.8990    434268.8481   5414427.1043   3313865.9482    434268.8961   5414427.0568    0.0024   -0.0008    0.0044
SVIC   3153905.0967    585859.4966   5494332.7174   3153905.1373    585859.5422   5494332.6615   -0.0082   -0.0038   -0.0088
SVOC   2295993.9633    596438.2822   5900792.8685   2295994.0163    596438.3334   5900792.8366   -0.0022    0.0004   -0.0040
TANC   1910060.1640   1023564.0190   5978666.7166   1910060.2232   1023564.0745   5978666.7034    0.0014    0.0023    0.0031
TERC   2631492.1922    577494.0955   5761888.2129   2631492.2448    577494.1457   5761888.1729   -0.0004    0.0002   -0.0045
TGDE   3358081.1415    445364.6770   5386152.7853   3358081.1949    445364.7262   5386152.7402    0.0070    0.0004    0.0076
TINC   2882293.8091    415691.9326   5655579.1645   2882293.8617    415691.9828   5655579.1190    0.0020    0.0011   -0.0033
TJMC   3227106.3584    592239.8445   5451311.0905   3227106.4040    592239.8912   5451311.0451   -0.0025   -0.0027    0.0033
TNSC   3302221.3145    388315.5477   5424777.9248   3302221.3661    388315.5948   5424777.8792    0.0049   -0.0015    0.0063
TRDS   2820171.0686    513485.8459   5678935.8100   2820171.1179    513485.8965   5678935.7640   -0.0021    0.0011   -0.0058
TREC   3255039.8880    487706.1034   5445319.3001   3255039.9300    487706.1512   5445319.2425   -0.0056   -0.0012   -0.0075
TRO1   2102928.7585    721619.2948   5958196.1633   2102928.8185    721619.3435   5958196.1424    0.0036   -0.0030    0.0019
TROC   2576519.9554    613113.7020   5782949.0034   2576520.0083    613113.7534   5782948.9671   -0.0005    0.0012   -0.0023
TRYS   2987994.0906    655946.0109   5578690.0834   2987994.1382    655946.0569   5578690.0406   -0.0029   -0.0038    0.0001
TVED   3288453.8712    516514.4518   5422429.9016   3288453.9220    516514.5017   5422429.8602    0.0035    0.0009    0.0093
TYIC   3050967.4516    441448.6593   5566379.6624   3050967.4976    441448.7090   5566379.6096   -0.0033    0.0007   -0.0069
TYSV   3238031.4666    305979.4039   5468313.7889   3238031.5209    305979.4520   5468313.7449    0.0073   -0.0004    0.0072
ULEF   3223782.3509    527013.9527   5459927.9244   3223782.3976    527014.0010   5459927.8791   -0.0012   -0.0009    0.0038
ULSC   3080890.8811    467180.7702   5547198.4143   3080890.9267    467180.8183   5547198.3607   -0.0036   -0.0010   -0.0073
VADC   1892271.4858   1080880.2898   5974269.1887   1892271.5422   1080880.3454   5974269.1690   -0.0016    0.0020   -0.0042
VALC   3241304.1850    425413.0109   5458869.3574   3241304.2330    425413.0610   5458869.3090    0.0005    0.0013    0.0018
VARD   1839676.3435   1109939.2587   5985244.5286   1839676.4032   1109939.3137   5985244.5182    0.0015    0.0012    0.0038
VARS   1844607.5966   1109719.0500   5983936.0660   1844607.6545   1109719.1059   5983936.0529   -0.0004    0.0021    0.0012
VEGC   3152743.8252    508812.7874   5502859.2817   3152743.8679    508812.8361   5502859.2279   -0.0059   -0.0004   -0.0062
VEGS   2577543.5495    546168.4919   5789081.0160   2577543.6039    546168.5409   5789080.9824    0.0011   -0.0009    0.0008
VIKC   2664618.9187    529646.0679   5751325.1822   2664618.9735    529646.1174   5751325.1441    0.0022   -0.0003   -0.0015
VIKE   3151074.3183    555883.2682   5499123.4309   3151074.3657    555883.3161   5499123.3873   -0.0012   -0.0014    0.0036
VINC   2998136.3257    515072.5268   5587484.3506   2998136.3705    515072.5756   5587484.2972   -0.0052   -0.0005   -0.0093
VOLD   2971153.9673    316683.2848   5616163.0275   2971154.0184    316683.3361   5616162.9785    0.0017    0.0026   -0.0041
VSSC   3116663.5053    350851.4857   5535247.0697   3116663.5521    350851.5364   5535247.0167   -0.0015    0.0021   -0.0050
